name,imports
World.Europe.Southern Europe.Macedonia FYR,
World.Americas.Northern America.United States,"['World.Americas.Northern America.Canada', 'World.Americas.Central America.Mexico', 'World.Asia.Eastern Asia.China', 'World.Asia.Eastern Asia.Japan', 'World.Europe.Northern Europe.United Kingdom', 'World.Europe.Western Europe.Germany', 'World.Asia.Eastern Asia.Korea Rep.', 'World.Europe.Western Europe.Netherlands', 'World.Asia.Eastern Asia.Hong Kong China', 'World.Americas.South America.Brazil', 'World.Europe.Western Europe.France', 'World.Asia.South-eastern Asia.Singapore', 'World.Asia.Southern Asia.India', 'World.Europe.Western Europe.Belgium', 'World.Oceania.Australia and New Zealand.Australia', 'World.Europe.Southern Europe.Italy', 'World.Asia.Western Asia.United Arab Emirates', 'World.Europe.Western Europe.Switzerland', 'World.Asia.South-eastern Asia.Malaysia', 'World.Americas.South America.Chile', 'World.Americas.South America.Colombia', 'World.Asia.South-eastern Asia.Thailand', 'World.Asia.Western Asia.Israel', 'World.Asia.Western Asia.Saudi Arabia', 'World.Europe.Southern Europe.Spain', 'World.Americas.South America.Argentina', 'World.Europe.Northern Europe.Ireland', 'World.Asia.South-eastern Asia.Philippines', 'World.Asia.South-eastern Asia.Vietnam', 'World.Americas.South America.Peru', 'World.Asia.Western Asia.Turkey', 'World.Americas.Caribbean.Dominican Republic', 'World.Asia.South-eastern Asia.Indonesia']"
World.Europe.Southern Europe.Slovenia,"['World.Europe.Western Europe.Germany', 'World.Europe.Southern Europe.Italy', 'World.Europe.Western Europe.Austria', 'World.Europe.Southern Europe.Croatia', 'World.Europe.Western Europe.France', 'World.Europe.Eastern Europe.Poland', 'World.Europe.Eastern Europe.Hungary', 'World.Europe.Eastern Europe.Russian Federation', 'World.Europe.Southern Europe.Bosnia and Herzegovina', 'World.Europe.Eastern Europe.Czech Republic', 'World.Europe.Western Europe.Switzerland', 'World.Americas.Northern America.United States', 'World.Europe.Southern Europe.Spain', 'World.Europe.Northern Europe.United Kingdom', 'World.Europe.Western Europe.Netherlands', 'World.Europe.Eastern Europe.Slovak Republic', 'World.Asia.Eastern Asia.China', 'World.Europe.Northern Europe.Sweden', 'World.Europe.Northern Europe.Denmark', 'World.Europe.Western Europe.Belgium', 'World.Asia.Western Asia.Turkey', 'World.Europe.Eastern Europe.Bulgaria', 'World.Europe.Southern Europe.Macedonia FYR']"
World.Europe.Western Europe.Netherlands,"['World.Europe.Western Europe.Germany', 'World.Europe.Western Europe.Belgium', 'World.Europe.Northern Europe.United Kingdom', 'World.Europe.Western Europe.France', 'World.Americas.Northern America.United States', 'World.Europe.Southern Europe.Italy', 'World.Europe.Eastern Europe.Poland', 'World.Europe.Southern Europe.Spain', 'World.Asia.Eastern Asia.China', 'World.Europe.Northern Europe.Sweden', 'World.Europe.Eastern Europe.Czech Republic', 'World.Europe.Northern Europe.Denmark', 'World.Europe.Western Europe.Austria', 'World.Asia.Eastern Asia.Korea Rep.', 'World.Europe.Western Europe.Switzerland', 'World.Europe.Eastern Europe.Russian Federation', 'World.Asia.Western Asia.Turkey', 'World.Asia.South-eastern Asia.Singapore', 'World.Europe.Northern Europe.Finland', 'World.Europe.Eastern Europe.Hungary', 'World.Europe.Northern Europe.Norway', 'World.Europe.Northern Europe.Ireland', 'World.Asia.Eastern Asia.Japan', 'World.Americas.Northern America.Canada', 'World.Africa.Western Africa.Nigeria', 'World.Asia.Western Asia.United Arab Emirates', 'World.Europe.Southern Europe.Portugal', 'World.Oceania.Australia and New Zealand.Australia', 'World.Asia.Western Asia.Saudi Arabia', 'World.Americas.Central America.Mexico', 'World.Americas.South America.Brazil', 'World.Asia.Eastern Asia.Hong Kong China', 'World.Asia.Western Asia.Israel', 'World.Europe.Southern Europe.Greece']"
World.Europe.Western Europe.France,"['World.Europe.Western Europe.Germany', 'World.Americas.Northern America.United States', 'World.Europe.Southern Europe.Spain', 'World.Europe.Southern Europe.Italy', 'World.Europe.Northern Europe.United Kingdom', 'World.Europe.Western Europe.Belgium', 'World.Asia.Eastern Asia.China', 'World.Europe.Western Europe.Netherlands', 'World.Europe.Western Europe.Switzerland', 'World.Europe.Eastern Europe.Poland', 'World.Asia.South-eastern Asia.Singapore', 'World.Asia.Southern Asia.India', 'World.Asia.Eastern Asia.Hong Kong China', 'World.Asia.Western Asia.Turkey', 'World.Asia.Eastern Asia.Japan', 'World.Europe.Eastern Europe.Russian Federation', 'World.Europe.Northern Europe.Sweden', 'World.Americas.South America.Brazil', 'World.Africa.Northern Africa.Algeria', 'World.Europe.Southern Europe.Portugal', 'World.Europe.Eastern Europe.Czech Republic', 'World.Africa.Northern Africa.Morocco', 'World.Asia.Eastern Asia.Korea Rep.', 'World.Asia.Western Asia.Qatar', 'World.Europe.Western Europe.Austria', 'World.Asia.Western Asia.Saudi Arabia', 'World.Americas.Central America.Mexico', 'World.Europe.Eastern Europe.Hungary', 'World.Africa.Northern Africa.Tunisia', 'World.Europe.Eastern Europe.Slovak Republic', 'World.Americas.Northern America.Canada', 'World.Asia.Western Asia.United Arab Emirates', 'World.Europe.Northern Europe.Denmark', 'World.Europe.Northern Europe.Ireland', 'World.Oceania.Australia and New Zealand.Australia', 'World.Europe.Western Europe.Luxembourg', 'World.Asia.South-eastern Asia.Malaysia']"
World.Europe.Western Europe.Switzerland,"['World.Europe.Western Europe.Germany', 'World.Americas.Northern America.United States', 'World.Asia.Eastern Asia.China', 'World.Europe.Western Europe.France', 'World.Asia.Southern Asia.India', 'World.Europe.Southern Europe.Italy', 'World.Asia.Eastern Asia.Hong Kong China', 'World.Europe.Northern Europe.United Kingdom', 'World.Europe.Western Europe.Austria', 'World.Europe.Western Europe.Netherlands', 'World.Asia.Eastern Asia.Japan', 'World.Europe.Southern Europe.Spain', 'World.Asia.South-eastern Asia.Singapore', 'World.Europe.Western Europe.Belgium', 'World.Asia.Western Asia.United Arab Emirates', 'World.Americas.Northern America.Canada', 'World.Asia.South-eastern Asia.Thailand', 'World.Europe.Eastern Europe.Poland', 'World.Asia.Eastern Asia.Korea Rep.', 'World.Oceania.Australia and New Zealand.Australia', 'World.Asia.Western Asia.Turkey', 'World.Americas.South America.Brazil', 'World.Europe.Eastern Europe.Russian Federation', 'World.Asia.South-eastern Asia.Malaysia', 'World.Europe.Eastern Europe.Czech Republic', 'World.Europe.Northern Europe.Sweden', 'World.Asia.Western Asia.Saudi Arabia']"
World.Europe.Northern Europe.Norway,"['World.Europe.Northern Europe.United Kingdom', 'World.Europe.Western Europe.Germany', 'World.Europe.Western Europe.Netherlands', 'World.Europe.Western Europe.France', 'World.Europe.Northern Europe.Sweden', 'World.Europe.Western Europe.Belgium', 'World.Europe.Northern Europe.Denmark', 'World.Americas.Northern America.United States', 'World.Europe.Eastern Europe.Poland', 'World.Asia.Eastern Asia.China', 'World.Europe.Southern Europe.Spain', 'World.Europe.Northern Europe.Finland', 'World.Asia.Eastern Asia.Korea Rep.', 'World.Asia.Eastern Asia.Japan', 'World.Europe.Southern Europe.Italy', 'World.Europe.Northern Europe.Ireland', 'World.Americas.Northern America.Canada', 'World.Asia.Western Asia.Turkey', 'World.Europe.Northern Europe.Lithuania', 'World.Europe.Northern Europe.Iceland']"
World.Europe.Western Europe.Austria,"['World.Europe.Western Europe.Germany', 'World.Americas.Northern America.United States', 'World.Europe.Southern Europe.Italy', 'World.Europe.Western Europe.Switzerland', 'World.Europe.Western Europe.France', 'World.Europe.Eastern Europe.Czech Republic', 'World.Europe.Eastern Europe.Hungary', 'World.Europe.Eastern Europe.Poland', 'World.Asia.Eastern Asia.China', 'World.Europe.Northern Europe.United Kingdom', 'World.Europe.Eastern Europe.Slovak Republic', 'World.Europe.Western Europe.Netherlands', 'World.Europe.Southern Europe.Spain', 'World.Europe.Southern Europe.Slovenia', 'World.Europe.Eastern Europe.Russian Federation', 'World.Europe.Western Europe.Belgium', 'World.Europe.Northern Europe.Sweden', 'World.Americas.Central America.Mexico', 'World.Oceania.Australia and New Zealand.Australia', 'World.Asia.Eastern Asia.Japan', 'World.Asia.Eastern Asia.Korea Rep.', 'World.Americas.Northern America.Canada', 'World.Asia.Western Asia.Turkey', 'World.Europe.Southern Europe.Croatia', 'World.Asia.Southern Asia.India', 'World.Asia.South-eastern Asia.Malaysia', 'World.Americas.South America.Brazil']"
World.Africa.Southern Africa.South Africa,"['World.Asia.Eastern Asia.China', 'World.Europe.Western Europe.Germany', 'World.Americas.Northern America.United States', 'World.Europe.Northern Europe.United Kingdom', 'World.Africa.Southern Africa.Botswana', 'World.Asia.Southern Asia.India', 'World.Asia.Eastern Asia.Japan', 'World.Africa.Southern Africa.Namibia', 'World.Africa.Eastern Africa.Mozambique', 'World.Europe.Western Europe.Netherlands', 'World.Africa.Eastern Africa.Zambia', 'World.Africa.Eastern Africa.Zimbabwe', 'World.Europe.Western Europe.Belgium', 'World.Asia.Eastern Asia.Korea Rep.', 'World.Asia.Western Asia.United Arab Emirates', 'World.Europe.Southern Europe.Spain', 'World.Africa.Southern Africa.Swaziland', 'World.Africa.Southern Africa.Lesotho', 'World.Asia.Eastern Asia.Hong Kong China', 'World.Europe.Western Europe.France', 'World.Europe.Western Europe.Switzerland', 'World.Oceania.Australia and New Zealand.Australia', 'World.Europe.Southern Europe.Italy', 'World.Asia.Southern Asia.Pakistan', 'World.Africa.Eastern Africa.Kenya', 'World.Asia.South-eastern Asia.Indonesia', 'World.Asia.South-eastern Asia.Thailand', 'World.Asia.South-eastern Asia.Malaysia', 'World.Africa.Middle Africa.Angola', 'World.Africa.Eastern Africa.Malawi', 'World.Africa.Eastern Africa.Tanzania', 'World.Asia.Western Asia.Turkey', 'World.Africa.Western Africa.Nigeria', 'World.Africa.Eastern Africa.Mauritius', 'World.Africa.Western Africa.Ghana', 'World.Asia.South-eastern Asia.Singapore']"
World.Europe.Southern Europe.Portugal,"['World.Europe.Southern Europe.Spain', 'World.Europe.Western Europe.France', 'World.Europe.Western Europe.Germany', 'World.Europe.Northern Europe.United Kingdom', 'World.Americas.Northern America.United States', 'World.Europe.Southern Europe.Italy', 'World.Europe.Western Europe.Netherlands', 'World.Africa.Middle Africa.Angola', 'World.Europe.Western Europe.Belgium', 'World.Americas.South America.Brazil', 'World.Europe.Eastern Europe.Poland', 'World.Africa.Northern Africa.Morocco', 'World.Asia.Eastern Asia.China', 'World.Europe.Western Europe.Austria', 'World.Europe.Northern Europe.Sweden', 'World.Europe.Western Europe.Switzerland', 'World.Asia.Western Asia.Turkey', 'World.Europe.Eastern Europe.Czech Republic', 'World.Europe.Northern Europe.Denmark', 'World.Americas.Central America.Mexico', 'World.Americas.Northern America.Canada', 'World.Europe.Eastern Europe.Slovak Republic', 'World.Africa.Northern Africa.Algeria', 'World.Europe.Northern Europe.Finland', 'World.Europe.Northern Europe.Ireland']"
World.Asia.Western Asia.United Arab Emirates,"['World.Asia.Western Asia.Saudi Arabia', 'World.Asia.Western Asia.Iraq', 'World.Asia.Southern Asia.Iran Islamic Rep.', 'World.Asia.Southern Asia.India', 'World.Asia.Western Asia.Oman', 'World.Asia.Western Asia.Kuwait', 'World.Europe.Western Europe.Switzerland', 'World.Americas.Northern America.United States', 'World.Asia.Eastern Asia.Hong Kong China', 'World.Asia.Western Asia.Bahrain', 'World.Asia.Eastern Asia.China', 'World.Africa.Northern Africa.Egypt Arab Rep.', 'World.Europe.Northern Europe.United Kingdom', 'World.Asia.Western Asia.Turkey', 'World.Europe.Western Europe.Belgium', 'World.Europe.Western Europe.Germany', 'World.Asia.Southern Asia.Pakistan', 'World.Europe.Western Europe.Netherlands', 'World.Asia.Western Asia.Jordan', 'World.Asia.Southern Asia.Afghanistan', 'World.Asia.South-eastern Asia.Singapore', 'World.Asia.Western Asia.Lebanon', 'World.Africa.Northern Africa.Libya', 'World.Africa.Eastern Africa.Kenya', 'World.Europe.Eastern Europe.Russian Federation', 'World.Asia.Central Asia.Kyrgyz Republic', 'World.Asia.Western Asia.Syrian Arab Republic', 'World.Africa.Eastern Africa.Tanzania', 'World.Africa.Western Africa.Nigeria', 'World.Asia.Southern Asia.Bangladesh']"
World.Asia.South-eastern Asia.Singapore,"['World.Asia.Eastern Asia.Hong Kong China', 'World.Asia.Eastern Asia.China', 'World.Asia.South-eastern Asia.Malaysia', 'World.Americas.Northern America.United States', 'World.Asia.South-eastern Asia.Indonesia', 'World.Asia.Eastern Asia.Japan', 'World.Asia.Eastern Asia.Korea Rep.', 'World.Asia.South-eastern Asia.Thailand', 'World.Asia.Southern Asia.India', 'World.Asia.South-eastern Asia.Vietnam', 'World.Oceania.Australia and New Zealand.Australia', 'World.Europe.Western Europe.Netherlands', 'World.Asia.South-eastern Asia.Philippines', 'World.Europe.Western Europe.Germany', 'World.Europe.Western Europe.France', 'World.Europe.Northern Europe.United Kingdom', 'World.Europe.Western Europe.Belgium']"
World.Africa.Southern Africa.Namibia,"['World.Africa.Southern Africa.South Africa', 'World.Asia.Eastern Asia.China', 'World.Europe.Northern Europe.United Kingdom', 'World.Oceania.Micronesia.Marshall Islands', 'World.Africa.Southern Africa.Botswana', 'World.Europe.Western Europe.Belgium', 'World.Europe.Southern Europe.Spain', 'World.Africa.Eastern Africa.Zambia', 'World.Europe.Western Europe.France', 'World.Asia.South-eastern Asia.Singapore', 'World.Europe.Southern Europe.Italy', 'World.Asia.Western Asia.United Arab Emirates', 'World.Americas.Northern America.United States']"
