name,imports
World.Asia.Southern Asia.Pakistan,"['World.Americas.Northern America.United States', 'World.Asia.Eastern Asia.China', 'World.Europe.Northern Europe.United Kingdom', 'World.Asia.Southern Asia.Afghanistan', 'World.Europe.Western Europe.Germany', 'World.Asia.Western Asia.United Arab Emirates', 'World.Europe.Western Europe.Netherlands', 'World.Europe.Southern Europe.Spain', 'World.Asia.Southern Asia.Bangladesh', 'World.Europe.Southern Europe.Italy', 'World.Europe.Western Europe.Belgium', 'World.Europe.Western Europe.France', 'World.Asia.Southern Asia.India', 'World.Asia.Southern Asia.Sri Lanka', 'World.Asia.Western Asia.Saudi Arabia', 'World.Asia.South-eastern Asia.Indonesia', 'World.Asia.Western Asia.Turkey', 'World.Asia.Eastern Asia.Korea Rep.', 'World.Asia.South-eastern Asia.Vietnam', 'World.Africa.Eastern Africa.Kenya', 'World.Americas.Northern America.Canada', 'World.Oceania.Australia and New Zealand.Australia', 'World.Europe.Eastern Europe.Poland', 'World.Asia.South-eastern Asia.Thailand', 'World.Asia.Eastern Asia.Japan', 'World.Europe.Southern Europe.Portugal', 'World.Africa.Southern Africa.South Africa', 'World.Europe.Northern Europe.Denmark', 'World.Europe.Eastern Europe.Russian Federation', 'World.Asia.South-eastern Asia.Malaysia', 'World.Asia.Western Asia.Oman', 'World.Europe.Northern Europe.Sweden', 'World.Asia.South-eastern Asia.Singapore', 'World.Africa.Eastern Africa.Tanzania', 'World.Asia.South-eastern Asia.Philippines', 'World.Asia.Eastern Asia.Hong Kong China', 'World.Africa.Eastern Africa.Madagascar', 'World.Americas.Central America.Mexico', 'World.Asia.Western Asia.Qatar', 'World.Asia.Western Asia.Kuwait']"
World.Asia.Southern Asia.India,"['World.Americas.Northern America.United States', 'World.Asia.Western Asia.United Arab Emirates', 'World.Asia.Eastern Asia.China', 'World.Asia.Eastern Asia.Hong Kong China', 'World.Asia.South-eastern Asia.Singapore', 'World.Europe.Western Europe.Germany', 'World.Europe.Northern Europe.United Kingdom', 'World.Asia.Southern Asia.Bangladesh', 'World.Europe.Western Europe.Netherlands', 'World.Asia.Southern Asia.Nepal', 'World.Europe.Western Europe.Belgium', 'World.Asia.South-eastern Asia.Vietnam', 'World.Asia.South-eastern Asia.Malaysia', 'World.Asia.Western Asia.Turkey', 'World.Europe.Southern Europe.Italy', 'World.Asia.Western Asia.Saudi Arabia', 'World.Asia.Southern Asia.Sri Lanka', 'World.Asia.South-eastern Asia.Indonesia', 'World.Europe.Western Europe.France', 'World.Asia.Eastern Asia.Japan', 'World.Asia.South-eastern Asia.Thailand', 'World.Asia.Eastern Asia.Korea Rep.', 'World.Africa.Southern Africa.South Africa', 'World.Americas.Central America.Mexico', 'World.Europe.Southern Europe.Spain', 'World.Oceania.Australia and New Zealand.Australia', 'World.Americas.South America.Brazil', 'World.Asia.Western Asia.Israel', 'World.Africa.Western Africa.Nigeria', 'World.Africa.Northern Africa.Egypt Arab Rep.', 'World.Asia.Southern Asia.Iran Islamic Rep.', 'World.Americas.Northern America.Canada', 'World.Europe.Eastern Europe.Russian Federation', 'World.Asia.Western Asia.Oman', 'World.Africa.Eastern Africa.Kenya', 'World.Asia.Southern Asia.Pakistan', 'World.Asia.South-eastern Asia.Philippines', 'World.Africa.Eastern Africa.Tanzania', 'World.Asia.Western Asia.Iraq', 'World.Asia.Western Asia.Qatar', 'World.Europe.Eastern Europe.Poland', 'World.Asia.Western Asia.Kuwait', 'World.Americas.South America.Colombia', 'World.Asia.South-eastern Asia.Myanmar', 'World.Europe.Western Europe.Switzerland']"
World.Asia.Eastern Asia.China,"['World.Americas.Northern America.United States', 'World.Asia.Eastern Asia.Hong Kong China', 'World.Asia.Eastern Asia.Japan', 'World.Asia.Eastern Asia.Korea Rep.', 'World.Asia.South-eastern Asia.Vietnam', 'World.Europe.Western Europe.Netherlands', 'World.Asia.Southern Asia.India', 'World.Europe.Western Europe.Germany', 'World.Asia.South-eastern Asia.Singapore', 'World.Europe.Northern Europe.United Kingdom', 'World.Europe.Eastern Europe.Russian Federation', 'World.Americas.Central America.Mexico', 'World.Asia.South-eastern Asia.Malaysia', 'World.Oceania.Australia and New Zealand.Australia', 'World.Asia.South-eastern Asia.Indonesia', 'World.Asia.South-eastern Asia.Thailand', 'World.Americas.South America.Brazil', 'World.Europe.Southern Europe.Italy', 'World.Asia.South-eastern Asia.Philippines', 'World.Americas.Northern America.Canada', 'World.Asia.Western Asia.United Arab Emirates', 'World.Europe.Western Europe.France', 'World.Europe.Southern Europe.Spain', 'World.Europe.Eastern Europe.Poland', 'World.Asia.Western Asia.Turkey', 'World.Asia.Southern Asia.Pakistan', 'World.Asia.Southern Asia.Bangladesh', 'World.Europe.Eastern Europe.Czech Republic', 'World.Africa.Southern Africa.South Africa', 'World.Asia.Western Asia.Saudi Arabia', 'World.Europe.Western Europe.Belgium', 'World.Asia.Southern Asia.Iran Islamic Rep.', 'World.Americas.South America.Chile', 'World.Africa.Western Africa.Nigeria', 'World.Africa.Northern Africa.Egypt Arab Rep.', 'World.Asia.Central Asia.Kazakhstan', 'World.Asia.South-eastern Asia.Myanmar', 'World.Americas.South America.Argentina']"
World.Asia.Western Asia.Turkey,"['World.Europe.Western Europe.Germany', 'World.Europe.Northern Europe.United Kingdom', 'World.Europe.Southern Europe.Italy', 'World.Americas.Northern America.United States', 'World.Europe.Western Europe.France', 'World.Europe.Southern Europe.Spain', 'World.Asia.Western Asia.Iraq', 'World.Europe.Western Europe.Netherlands', 'World.Europe.Western Europe.Belgium', 'World.Europe.Eastern Europe.Poland', 'World.Asia.Western Asia.Israel', 'World.Europe.Eastern Europe.Russian Federation', 'World.Africa.Northern Africa.Egypt Arab Rep.', 'World.Asia.Western Asia.United Arab Emirates', 'World.Europe.Eastern Europe.Bulgaria', 'World.Asia.Southern Asia.Iran Islamic Rep.', 'World.Asia.Eastern Asia.China', 'World.Asia.Western Asia.Saudi Arabia', 'World.Africa.Northern Africa.Algeria', 'World.Africa.Northern Africa.Morocco', 'World.Europe.Southern Europe.Greece', 'World.Europe.Southern Europe.Slovenia', 'World.Europe.Western Europe.Switzerland', 'World.Asia.Western Asia.Azerbaijan', 'World.Europe.Eastern Europe.Ukraine', 'World.Europe.Northern Europe.Sweden', 'World.Asia.Western Asia.Georgia', 'World.Africa.Northern Africa.Libya', 'World.Europe.Eastern Europe.Hungary', 'World.Americas.Northern America.Canada', 'World.Europe.Western Europe.Austria', 'World.Asia.Western Asia.Syrian Arab Republic', 'World.Asia.Central Asia.Uzbekistan', 'World.Europe.Northern Europe.Denmark', 'World.Asia.Western Asia.Cyprus', 'World.Asia.Southern Asia.India', 'World.Europe.Southern Europe.Portugal', 'World.Europe.Eastern Europe.Czech Republic', 'World.Asia.Western Asia.Qatar', 'World.Europe.Northern Europe.Ireland', 'World.Africa.Northern Africa.Tunisia', 'World.Asia.Eastern Asia.Korea Rep.', 'World.Asia.Western Asia.Jordan', 'World.Asia.Western Asia.Lebanon', 'World.Asia.Central Asia.Kazakhstan', 'World.Oceania.Australia and New Zealand.Australia', 'World.Asia.Eastern Asia.Hong Kong China', 'World.Americas.Central America.Mexico', 'World.Europe.Northern Europe.Norway', 'World.Asia.Western Asia.Yemen', 'World.Africa.Southern Africa.South Africa', 'World.Europe.Eastern Europe.Slovak Republic', 'World.Asia.Western Asia.Kuwait']"
World.Asia.Southern Asia.Iran Islamic Rep.,"['World.Asia.Western Asia.Iraq', 'World.Asia.Eastern Asia.China', 'World.Asia.Western Asia.United Arab Emirates', 'World.Asia.Southern Asia.Afghanistan', 'World.Asia.Eastern Asia.Korea Rep.', 'World.Asia.Western Asia.Turkey', 'World.Asia.Southern Asia.India']"
World.Europe.Southern Europe.Italy,"['World.Europe.Western Europe.Germany', 'World.Europe.Western Europe.France', 'World.Americas.Northern America.United States', 'World.Europe.Southern Europe.Spain', 'World.Europe.Northern Europe.United Kingdom', 'World.Europe.Western Europe.Switzerland', 'World.Europe.Eastern Europe.Poland', 'World.Asia.Eastern Asia.China', 'World.Europe.Western Europe.Belgium', 'World.Europe.Western Europe.Netherlands', 'World.Europe.Western Europe.Austria', 'World.Asia.Western Asia.Turkey', 'World.Europe.Eastern Europe.Russian Federation', 'World.Europe.Eastern Europe.Czech Republic', 'World.Asia.Eastern Asia.Japan', 'World.Europe.Eastern Europe.Hungary', 'World.Europe.Northern Europe.Sweden', 'World.Americas.Central America.Mexico', 'World.Asia.Eastern Asia.Hong Kong China', 'World.Asia.Southern Asia.India', 'World.Europe.Southern Europe.Slovenia', 'World.Asia.Eastern Asia.Korea Rep.', 'World.Asia.Western Asia.United Arab Emirates', 'World.Americas.South America.Brazil', 'World.Europe.Southern Europe.Greece', 'World.Oceania.Australia and New Zealand.Australia', 'World.Europe.Southern Europe.Portugal', 'World.Americas.Northern America.Canada', 'World.Africa.Northern Africa.Algeria', 'World.Europe.Eastern Europe.Slovak Republic', 'World.Asia.Western Asia.Saudi Arabia', 'World.Africa.Northern Africa.Tunisia', 'World.Africa.Northern Africa.Egypt Arab Rep.', 'World.Europe.Northern Europe.Denmark', 'World.Europe.Southern Europe.Croatia', 'World.Europe.Eastern Europe.Bulgaria', 'World.Asia.Western Asia.Israel', 'World.Asia.South-eastern Asia.Singapore', 'World.Asia.Southern Asia.Iran Islamic Rep.', 'World.Africa.Southern Africa.South Africa', 'World.Africa.Northern Africa.Morocco', 'World.Europe.Northern Europe.Finland', 'World.Europe.Northern Europe.Norway']"
,
World.Europe.Southern Europe.Spain,"['World.Europe.Western Europe.France', 'World.Europe.Western Europe.Germany', 'World.Europe.Southern Europe.Italy', 'World.Europe.Southern Europe.Portugal', 'World.Europe.Northern Europe.United Kingdom', 'World.Americas.Northern America.United States', 'World.Europe.Western Europe.Netherlands', 'World.Africa.Northern Africa.Morocco', 'World.Europe.Western Europe.Belgium', 'World.Asia.Eastern Asia.China', 'World.Europe.Eastern Europe.Poland', 'World.Asia.Western Asia.Turkey', 'World.Americas.Central America.Mexico', 'World.Africa.Northern Africa.Algeria', 'World.Europe.Western Europe.Switzerland', 'World.Europe.Eastern Europe.Czech Republic', 'World.Asia.Western Asia.Saudi Arabia', 'World.Asia.Eastern Asia.Japan', 'World.Americas.South America.Brazil', 'World.Europe.Northern Europe.Sweden', 'World.Europe.Western Europe.Austria', 'World.Europe.Southern Europe.Greece', 'World.Asia.Eastern Asia.Korea Rep.', 'World.Europe.Eastern Europe.Russian Federation', 'World.Europe.Eastern Europe.Hungary', 'World.Americas.Northern America.Canada', 'World.Europe.Northern Europe.Denmark', 'World.Oceania.Australia and New Zealand.Australia', 'World.Africa.Northern Africa.Egypt Arab Rep.', 'World.Americas.South America.Chile', 'World.Asia.Western Asia.United Arab Emirates', 'World.Europe.Northern Europe.Ireland', 'World.Asia.Western Asia.Israel', 'World.Asia.Southern Asia.India', 'World.Americas.South America.Argentina', 'World.Europe.Northern Europe.Norway', 'World.Europe.Southern Europe.Gibraltar', 'World.Europe.Eastern Europe.Bulgaria', 'World.Asia.South-eastern Asia.Singapore']"
World.Europe.Southern Europe.Greece,"['World.Europe.Southern Europe.Italy', 'World.Europe.Western Europe.Germany', 'World.Asia.Western Asia.Turkey', 'World.Asia.Western Asia.Cyprus', 'World.Asia.Western Asia.Lebanon', 'World.Europe.Eastern Europe.Bulgaria', 'World.Americas.Northern America.United States', 'World.Europe.Southern Europe.Spain', 'World.Europe.Northern Europe.United Kingdom', 'World.Africa.Northern Africa.Egypt Arab Rep.', 'World.Europe.Western Europe.France', 'World.Asia.Eastern Asia.China', 'World.Europe.Southern Europe.Macedonia FYR', 'World.Asia.Western Asia.Saudi Arabia', 'World.Europe.Western Europe.Netherlands', 'World.Europe.Southern Europe.Gibraltar', 'World.Europe.Southern Europe.Albania', 'World.Europe.Eastern Europe.Poland', 'World.Asia.South-eastern Asia.Singapore', 'World.Asia.Western Asia.Israel', 'World.Europe.Southern Europe.Slovenia', 'World.Africa.Northern Africa.Libya', 'World.Europe.Western Europe.Belgium', 'World.Europe.Southern Europe.Malta', 'World.Asia.Western Asia.United Arab Emirates', 'World.Africa.Northern Africa.Tunisia', 'World.Europe.Western Europe.Austria', 'World.Europe.Eastern Europe.Czech Republic', 'World.Europe.Eastern Europe.Russian Federation', 'World.Europe.Southern Europe.Portugal', 'World.Europe.Northern Europe.Sweden', 'World.Europe.Northern Europe.Denmark', 'World.Europe.Eastern Europe.Hungary', 'World.Africa.Western Africa.Liberia', 'World.Europe.Eastern Europe.Ukraine', 'World.Africa.Northern Africa.Algeria', 'World.Oceania.Australia and New Zealand.Australia', 'World.Americas.Northern America.Canada', 'World.Asia.Southern Asia.India']"
World.Europe.Western Europe.Germany,"['World.Americas.Northern America.United States', 'World.Asia.Eastern Asia.China', 'World.Europe.Western Europe.France', 'World.Europe.Northern Europe.United Kingdom', 'World.Europe.Western Europe.Netherlands', 'World.Europe.Southern Europe.Italy', 'World.Europe.Eastern Europe.Poland', 'World.Europe.Western Europe.Austria', 'World.Europe.Western Europe.Switzerland', 'World.Europe.Eastern Europe.Czech Republic', 'World.Europe.Southern Europe.Spain', 'World.Europe.Western Europe.Belgium', 'World.Europe.Eastern Europe.Hungary', 'World.Europe.Eastern Europe.Russian Federation', 'World.Europe.Northern Europe.Sweden', 'World.Asia.Western Asia.Turkey', 'World.Asia.Eastern Asia.Japan', 'World.Europe.Northern Europe.Denmark', 'World.Asia.Eastern Asia.Korea Rep.', 'World.Americas.Central America.Mexico', 'World.Europe.Eastern Europe.Slovak Republic', 'World.Asia.Southern Asia.India', 'World.Europe.Northern Europe.Finland', 'World.Europe.Southern Europe.Portugal', 'World.Europe.Northern Europe.Ireland', 'World.Africa.Southern Africa.South Africa', 'World.Americas.Northern America.Canada', 'World.Oceania.Australia and New Zealand.Australia', 'World.Americas.South America.Brazil', 'World.Asia.Western Asia.United Arab Emirates', 'World.Europe.Northern Europe.Norway', 'World.Asia.South-eastern Asia.Singapore', 'World.Asia.Western Asia.Saudi Arabia']"
