partner_x,partner_code_x,year,value,Global Name_x,Region Name_x,Intermediate Region Name_x,Region Name_y,Intermediate Region Name_y,ISO-alpha3 Code_y,reporter
Peru,PER,2018,1333832.0490199998,World,Americas,South America,Americas,South America,ARG,Argentina
Switzerland,CHE,2018,1280291.59717,World,Europe,Western Europe,Americas,South America,ARG,Argentina
Indonesia,IDN,2018,1248982.09009,World,Asia,South-eastern Asia,Americas,South America,ARG,Argentina
Uruguay,URY,2018,1238174.10044,World,Americas,South America,Americas,South America,ARG,Argentina
Canada,CAN,2018,1101126.1036399999,World,Americas,Northern America,Americas,South America,ARG,Argentina
Italy,ITA,2018,1062786.6944300001,World,Europe,Southern Europe,Americas,South America,ARG,Argentina
Germany,DEU,2018,1024945.3013800001,World,Europe,Western Europe,Americas,South America,ARG,Argentina
"Egypt, Arab Rep.",EGY,2018,952531.86646,World,Africa,Northern Africa,Americas,South America,ARG,Argentina
Malaysia,MYS,2018,940400.89543,World,Asia,South-eastern Asia,Americas,South America,ARG,Argentina
Saudi Arabia,SAU,2018,865856.7501699999,World,Asia,Western Asia,Americas,South America,ARG,Argentina
Mexico,MEX,2018,857339.8216,World,Americas,Central America,Americas,South America,ARG,Argentina
United Kingdom,GBR,2018,802874.64841,World,Europe,Northern Europe,Americas,South America,ARG,Argentina
Colombia,COL,2018,800703.4005199999,World,Americas,South America,Americas,South America,ARG,Argentina
Russian Federation,RUS,2018,670136.1040400001,World,Europe,Eastern Europe,Americas,South America,ARG,Argentina
Bolivia,BOL,2018,655730.64502,World,Americas,South America,Americas,South America,ARG,Argentina
Poland,POL,2018,617469.85652,World,Europe,Eastern Europe,Americas,South America,ARG,Argentina
Australia,AUS,2018,590074.15931,World,Oceania,Australia and New Zealand,Americas,South America,ARG,Argentina
Bangladesh,BGD,2018,519705.6244,World,Asia,Southern Asia,Americas,South America,ARG,Argentina
Thailand,THA,2018,499323.46985,World,Asia,South-eastern Asia,Americas,South America,ARG,Argentina
South Africa,ZAF,2018,484773.04236999986,World,Africa,Southern Africa,Americas,South America,ARG,Argentina
"Iran, Islamic Rep.",IRN,2018,446070.35676999995,World,Asia,Southern Asia,Americas,South America,ARG,Argentina
Turkey,TUR,2018,438114.13672,World,Asia,Western Asia,Americas,South America,ARG,Argentina
Ecuador,ECU,2018,423620.53164999996,World,Americas,South America,Americas,South America,ARG,Argentina
France,FRA,2018,345222.73701999994,World,Europe,Western Europe,Americas,South America,ARG,Argentina
Morocco,MAR,2018,340054.91922,World,Africa,Northern Africa,Americas,South America,ARG,Argentina
Venezuela,VEN,2018,334772.45596999995,World,Americas,South America,Americas,South America,ARG,Argentina
Philippines,PHL,2018,302378.17969,World,Asia,South-eastern Asia,Americas,South America,ARG,Argentina
Russian Federation,RUS,2018,645405.8186600001,World,Europe,Eastern Europe,Asia,Western Asia,ARM,Armenia
Switzerland,CHE,2018,308167.4498499999,World,Europe,Western Europe,Asia,Western Asia,ARM,Armenia
Bulgaria,BGR,2018,214919.10877000002,World,Europe,Eastern Europe,Asia,Western Asia,ARM,Armenia
Iraq,IRQ,2018,150681.64239,World,Asia,Western Asia,Asia,Western Asia,ARM,Armenia
Germany,DEU,2018,135722.77898,World,Europe,Western Europe,Asia,Western Asia,ARM,Armenia
