partner_x,partner_code_x,year,value,Global Name_x,Region Name_x,Intermediate Region Name_x,Region Name_y,Intermediate Region Name_y,ISO-alpha3 Code_y,reporter
China,CHN,2018,3882871.112,World,Asia,Eastern Asia,Europe,Eastern Europe,CZE,Czech Republic
Switzerland,CHE,2018,3691511.282,World,Europe,Western Europe,Europe,Eastern Europe,CZE,Czech Republic
Turkey,TUR,2018,3244308.9290000005,World,Asia,Western Asia,Europe,Eastern Europe,CZE,Czech Republic
Denmark,DNK,2018,2312988.322,World,Europe,Northern Europe,Europe,Eastern Europe,CZE,Czech Republic
Ukraine,UKR,2018,2259521.9639999997,World,Europe,Eastern Europe,Europe,Eastern Europe,CZE,Czech Republic
Ireland,IRL,2018,2164186.1859999998,World,Europe,Northern Europe,Europe,Eastern Europe,CZE,Czech Republic
Finland,FIN,2018,1634876.826,World,Europe,Northern Europe,Europe,Eastern Europe,CZE,Czech Republic
Bulgaria,BGR,2018,1320080.913,World,Europe,Eastern Europe,Europe,Eastern Europe,CZE,Czech Republic
Germany,DEU,2018,19348258.839522474,World,Europe,Western Europe,Europe,Northern Europe,DNK,Denmark
Special Categories,SPE,2018,17059407.208443843,,,,Europe,Northern Europe,DNK,Denmark
Sweden,SWE,2018,12731285.68532779,World,Europe,Northern Europe,Europe,Northern Europe,DNK,Denmark
United Kingdom,GBR,2018,8885509.118866574,World,Europe,Northern Europe,Europe,Northern Europe,DNK,Denmark
Norway,NOR,2018,7081681.047431099,World,Europe,Northern Europe,Europe,Northern Europe,DNK,Denmark
United States,USA,2018,6199922.280265208,World,Americas,Northern America,Europe,Northern Europe,DNK,Denmark
Netherlands,NLD,2018,5398183.435676223,World,Europe,Western Europe,Europe,Northern Europe,DNK,Denmark
France,FRA,2018,4130028.176852067,World,Europe,Western Europe,Europe,Northern Europe,DNK,Denmark
China,CHN,2018,4027867.726881841,World,Asia,Eastern Asia,Europe,Northern Europe,DNK,Denmark
Poland,POL,2018,3536881.716930861,World,Europe,Eastern Europe,Europe,Northern Europe,DNK,Denmark
Italy,ITA,2018,2924520.105858144,World,Europe,Southern Europe,Europe,Northern Europe,DNK,Denmark
Spain,ESP,2018,2435478.682359893,World,Europe,Southern Europe,Europe,Northern Europe,DNK,Denmark
Finland,FIN,2018,2339002.6906247158,World,Europe,Northern Europe,Europe,Northern Europe,DNK,Denmark
Belgium,BEL,2018,2139978.5623691576,World,Europe,Western Europe,Europe,Northern Europe,DNK,Denmark
Japan,JPN,2018,1617418.6333800058,World,Asia,Eastern Asia,Europe,Northern Europe,DNK,Denmark
Australia,AUS,2018,1204773.1551063387,World,Oceania,Australia and New Zealand,Europe,Northern Europe,DNK,Denmark
Russian Federation,RUS,2018,1146470.1724747834,World,Europe,Eastern Europe,Europe,Northern Europe,DNK,Denmark
"Hong Kong, China",HKG,2018,1014172.850555253,World,Asia,Eastern Asia,Europe,Northern Europe,DNK,Denmark
Turkey,TUR,2018,1013539.1722596961,World,Asia,Western Asia,Europe,Northern Europe,DNK,Denmark
Austria,AUT,2018,978570.9983423147,World,Europe,Western Europe,Europe,Northern Europe,DNK,Denmark
"Korea, Rep.",KOR,2018,961859.5284566933,World,Asia,Eastern Asia,Europe,Northern Europe,DNK,Denmark
Switzerland,CHE,2018,912959.3126220416,World,Europe,Western Europe,Europe,Northern Europe,DNK,Denmark
Ireland,IRL,2018,910607.9251447323,World,Europe,Northern Europe,Europe,Northern Europe,DNK,Denmark
Canada,CAN,2018,885580.5944866973,World,Americas,Northern America,Europe,Northern Europe,DNK,Denmark
Czech Republic,CZE,2018,840629.0785780002,World,Europe,Eastern Europe,Europe,Northern Europe,DNK,Denmark
Hungary,HUN,2018,813473.9843343564,World,Europe,Eastern Europe,Europe,Northern Europe,DNK,Denmark
Faeroe Islands,FRO,2018,725135.055946132,World,Europe,Northern Europe,Europe,Northern Europe,DNK,Denmark
Marshall Islands,MHL,2018,707482.4860731198,World,Oceania,Micronesia,Europe,Northern Europe,DNK,Denmark
Lithuania,LTU,2018,701760.0428134648,World,Europe,Northern Europe,Europe,Northern Europe,DNK,Denmark
Saudi Arabia,SAU,2018,699855.7364907801,World,Asia,Western Asia,Europe,Northern Europe,DNK,Denmark
Singapore,SGP,2018,660721.6313134097,World,Asia,South-eastern Asia,Europe,Northern Europe,DNK,Denmark
Iceland,ISL,2018,649599.9195574827,World,Europe,Northern Europe,Europe,Northern Europe,DNK,Denmark
India,IND,2018,618703.8028109523,World,Asia,Southern Asia,Europe,Northern Europe,DNK,Denmark
United States,USA,2018,6101754.385409,World,Americas,Northern America,Americas,Caribbean,DOM,Dominican Republic
Haiti,HTI,2018,893545.33195,World,Americas,Caribbean,Americas,Caribbean,DOM,Dominican Republic
India,IND,2018,674840.84201,World,Asia,Southern Asia,Americas,Caribbean,DOM,Dominican Republic
Canada,CAN,2018,638582.1101600002,World,Americas,Northern America,Americas,Caribbean,DOM,Dominican Republic
Netherlands,NLD,2018,257431.52317999993,World,Europe,Western Europe,Americas,Caribbean,DOM,Dominican Republic
China,CHN,2018,153204.17385999998,World,Asia,Eastern Asia,Americas,Caribbean,DOM,Dominican Republic
Switzerland,CHE,2018,150109.75864000001,World,Europe,Western Europe,Americas,Caribbean,DOM,Dominican Republic
Spain,ESP,2018,121856.61283299999,World,Europe,Southern Europe,Americas,Caribbean,DOM,Dominican Republic
United Kingdom,GBR,2018,105014.78220999999,World,Europe,Northern Europe,Americas,Caribbean,DOM,Dominican Republic
Germany,DEU,2018,95840.5588,World,Europe,Western Europe,Americas,Caribbean,DOM,Dominican Republic
Italy,ITA,2018,88631.83149019998,World,Europe,Southern Europe,Americas,Caribbean,DOM,Dominican Republic
Jamaica,JAM,2018,73084.0634876,World,Americas,Caribbean,Americas,Caribbean,DOM,Dominican Republic
United States,USA,2018,6724944.93013,World,Americas,Northern America,Americas,South America,ECU,Ecuador
Peru,PER,2018,1628866.2104500001,World,Americas,South America,Americas,South America,ECU,Ecuador
China,CHN,2018,1493507.9753599998,World,Asia,Eastern Asia,Americas,South America,ECU,Ecuador
Chile,CHL,2018,1478198.5089000002,World,Americas,South America,Americas,South America,ECU,Ecuador
Panama,PAN,2018,1245835.7813600001,World,Americas,Central America,Americas,South America,ECU,Ecuador
Vietnam,VNM,2018,1212271.5414700003,World,Asia,South-eastern Asia,Americas,South America,ECU,Ecuador
Colombia,COL,2018,898760.75211,World,Americas,South America,Americas,South America,ECU,Ecuador
Russian Federation,RUS,2018,837874.1732199999,World,Europe,Eastern Europe,Americas,South America,ECU,Ecuador
Italy,ITA,2018,646456.58689,World,Europe,Southern Europe,Americas,South America,ECU,Ecuador
Spain,ESP,2018,582378.2646400001,World,Europe,Southern Europe,Americas,South America,ECU,Ecuador
Germany,DEU,2018,505512.9530200001,World,Europe,Western Europe,Americas,South America,ECU,Ecuador
Netherlands,NLD,2018,436035.68076,World,Europe,Western Europe,Americas,South America,ECU,Ecuador
Japan,JPN,2018,318318.29511,World,Asia,Eastern Asia,Americas,South America,ECU,Ecuador
India,IND,2018,292425.54008,World,Asia,Southern Asia,Americas,South America,ECU,Ecuador
France,FRA,2018,268238.80641000014,World,Europe,Western Europe,Americas,South America,ECU,Ecuador
Argentina,ARG,2018,243288.24981999997,World,Americas,South America,Americas,South America,ECU,Ecuador
Belgium,BEL,2018,209956.85892,World,Europe,Western Europe,Americas,South America,ECU,Ecuador
United Kingdom,GBR,2018,187167.22945,World,Europe,Northern Europe,Americas,South America,ECU,Ecuador
Turkey,TUR,2018,167663.23416999998,World,Asia,Western Asia,Americas,South America,ECU,Ecuador
Mexico,MEX,2018,149572.47556,World,Americas,Central America,Americas,South America,ECU,Ecuador
Indonesia,IDN,2018,129279.40475000002,World,Asia,South-eastern Asia,Americas,South America,ECU,Ecuador
Italy,ITA,2018,2060951.6553009024,World,Europe,Southern Europe,Africa,Northern Africa,EGY,"Egypt, Arab Rep."
Turkey,TUR,2018,2057172.9440613685,World,Asia,Western Asia,Africa,Northern Africa,EGY,"Egypt, Arab Rep."
United Arab Emirates,ARE,2018,1983123.1769956383,World,Asia,Western Asia,Africa,Northern Africa,EGY,"Egypt, Arab Rep."
United States,USA,2018,1729650.457670222,World,Americas,Northern America,Africa,Northern Africa,EGY,"Egypt, Arab Rep."
Saudi Arabia,SAU,2018,1417552.6080596072,World,Asia,Western Asia,Africa,Northern Africa,EGY,"Egypt, Arab Rep."
United Kingdom,GBR,2018,1409226.218594391,World,Europe,Northern Europe,Africa,Northern Africa,EGY,"Egypt, Arab Rep."
Spain,ESP,2018,1289945.5952313808,World,Europe,Southern Europe,Africa,Northern Africa,EGY,"Egypt, Arab Rep."
India,IND,2018,1152358.6882445447,World,Asia,Southern Asia,Africa,Northern Africa,EGY,"Egypt, Arab Rep."
China,CHN,2018,1039657.0211459858,World,Asia,Eastern Asia,Africa,Northern Africa,EGY,"Egypt, Arab Rep."
Algeria,DZA,2018,992324.4862214029,World,Africa,Northern Africa,Africa,Northern Africa,EGY,"Egypt, Arab Rep."
France,FRA,2018,905875.1108500076,World,Europe,Western Europe,Africa,Northern Africa,EGY,"Egypt, Arab Rep."
Germany,DEU,2018,673797.9563538481,World,Europe,Western Europe,Africa,Northern Africa,EGY,"Egypt, Arab Rep."
Libya,LBY,2018,671469.5375517466,World,Africa,Northern Africa,Africa,Northern Africa,EGY,"Egypt, Arab Rep."
Jordan,JOR,2018,634995.5287939485,World,Asia,Western Asia,Africa,Northern Africa,EGY,"Egypt, Arab Rep."
Unspecified,UNS,2018,562102.4326761003,,,,Africa,Northern Africa,EGY,"Egypt, Arab Rep."
Netherlands,NLD,2018,523585.9356266698,World,Europe,Western Europe,Africa,Northern Africa,EGY,"Egypt, Arab Rep."
Lebanon,LBN,2018,519453.231615415,World,Asia,Western Asia,Africa,Northern Africa,EGY,"Egypt, Arab Rep."
Tunisia,TUN,2018,513219.67235984176,World,Africa,Northern Africa,Africa,Northern Africa,EGY,"Egypt, Arab Rep."
Morocco,MAR,2018,510459.6827552258,World,Africa,Northern Africa,Africa,Northern Africa,EGY,"Egypt, Arab Rep."
Malta,MLT,2018,496167.82988745545,World,Europe,Southern Europe,Africa,Northern Africa,EGY,"Egypt, Arab Rep."
Iraq,IRQ,2018,446918.0347689166,World,Asia,Western Asia,Africa,Northern Africa,EGY,"Egypt, Arab Rep."
Russian Federation,RUS,2018,422062.22853273456,World,Europe,Eastern Europe,Africa,Northern Africa,EGY,"Egypt, Arab Rep."
Greece,GRC,2018,408994.4647876811,World,Europe,Southern Europe,Africa,Northern Africa,EGY,"Egypt, Arab Rep."
Sudan,SUD,2018,397939.5146741995,,,,Africa,Northern Africa,EGY,"Egypt, Arab Rep."
Kenya,KEN,2018,362985.9654320817,World,Africa,Eastern Africa,Africa,Northern Africa,EGY,"Egypt, Arab Rep."
Belgium,BEL,2018,330669.46946549567,World,Europe,Western Europe,Africa,Northern Africa,EGY,"Egypt, Arab Rep."
Syrian Arab Republic,SYR,2018,328403.99250119453,World,Asia,Western Asia,Africa,Northern Africa,EGY,"Egypt, Arab Rep."
Yemen,YEM,2018,285482.87517415325,World,Asia,Western Asia,Africa,Northern Africa,EGY,"Egypt, Arab Rep."
Kuwait,KWT,2018,278658.745599758,World,Asia,Western Asia,Africa,Northern Africa,EGY,"Egypt, Arab Rep."
Brazil,BRA,2018,260421.9987298331,World,Americas,South America,Africa,Northern Africa,EGY,"Egypt, Arab Rep."
Malaysia,MYS,2018,245096.75889916986,World,Asia,South-eastern Asia,Africa,Northern Africa,EGY,"Egypt, Arab Rep."
Hungary,HUN,2018,222040.48761715437,World,Europe,Eastern Europe,Africa,Northern Africa,EGY,"Egypt, Arab Rep."
Switzerland,CHE,2018,212039.51273238254,World,Europe,Western Europe,Africa,Northern Africa,EGY,"Egypt, Arab Rep."
"Korea, Rep.",KOR,2018,201381.31798939238,World,Asia,Eastern Asia,Africa,Northern Africa,EGY,"Egypt, Arab Rep."
Nigeria,NGA,2018,179558.62112728876,World,Africa,Western Africa,Africa,Northern Africa,EGY,"Egypt, Arab Rep."
Ethiopia(excludes Eritrea),ETH,2018,170197.85247391372,World,Africa,Eastern Africa,Africa,Northern Africa,EGY,"Egypt, Arab Rep."
Oman,OMN,2018,167405.7972469529,World,Asia,Western Asia,Africa,Northern Africa,EGY,"Egypt, Arab Rep."
Pakistan,PAK,2018,160408.7713633163,World,Asia,Southern Asia,Africa,Northern Africa,EGY,"Egypt, Arab Rep."
Japan,JPN,2018,146371.0640969962,World,Asia,Eastern Asia,Africa,Northern Africa,EGY,"Egypt, Arab Rep."
Portugal,PRT,2018,144796.608104622,World,Europe,Southern Europe,Africa,Northern Africa,EGY,"Egypt, Arab Rep."
Romania,ROM,2018,142430.4678026604,,,,Africa,Northern Africa,EGY,"Egypt, Arab Rep."
Poland,POL,2018,125148.04629072052,World,Europe,Eastern Europe,Africa,Northern Africa,EGY,"Egypt, Arab Rep."
United States,USA,2018,2838826.83233,World,Americas,Northern America,Americas,Central America,SLV,El Salvador
Honduras,HND,2018,905817.5971700002,World,Americas,Central America,Americas,Central America,SLV,El Salvador
Guatemala,GTM,2018,847436.5052900001,World,Americas,Central America,Americas,Central America,SLV,El Salvador
Nicaragua,NIC,2018,406861.72206000006,World,Americas,Central America,Americas,Central America,SLV,El Salvador
Costa Rica,CRI,2018,254613.20017999999,World,Americas,Central America,Americas,Central America,SLV,El Salvador
Mexico,MEX,2018,146115.07822999998,World,Americas,Central America,Americas,Central America,SLV,El Salvador
Panama,PAN,2018,122471.35983999998,World,Americas,Central America,Americas,Central America,SLV,El Salvador
Finland,FIN,2018,3096741.0523065384,World,Europe,Northern Europe,Europe,Northern Europe,EST,Estonia
Sweden,SWE,2018,2230167.4475261304,World,Europe,Northern Europe,Europe,Northern Europe,EST,Estonia
Russian Federation,RUS,2018,2086090.5041728485,World,Europe,Eastern Europe,Europe,Northern Europe,EST,Estonia
United States,USA,2018,1856192.981697844,World,Americas,Northern America,Europe,Northern Europe,EST,Estonia
Latvia,LVA,2018,1727529.2493403342,World,Europe,Northern Europe,Europe,Northern Europe,EST,Estonia
Germany,DEU,2018,1321749.1450901008,World,Europe,Western Europe,Europe,Northern Europe,EST,Estonia
Lithuania,LTU,2018,1006962.5685800766,World,Europe,Northern Europe,Europe,Northern Europe,EST,Estonia
Norway,NOR,2018,697587.8447029034,World,Europe,Northern Europe,Europe,Northern Europe,EST,Estonia
Netherlands,NLD,2018,510569.68483693263,World,Europe,Western Europe,Europe,Northern Europe,EST,Estonia
Denmark,DNK,2018,490084.4342735137,World,Europe,Northern Europe,Europe,Northern Europe,EST,Estonia
Poland,POL,2018,452439.95925660536,World,Europe,Eastern Europe,Europe,Northern Europe,EST,Estonia
France,FRA,2018,405147.7291290056,World,Europe,Western Europe,Europe,Northern Europe,EST,Estonia
United Kingdom,GBR,2018,365017.2567193988,World,Europe,Northern Europe,Europe,Northern Europe,EST,Estonia
Singapore,SGP,2018,321675.13072650606,World,Asia,South-eastern Asia,Europe,Northern Europe,EST,Estonia
Belgium,BEL,2018,318202.1309348069,World,Europe,Western Europe,Europe,Northern Europe,EST,Estonia
China,CHN,2018,289706.6226881136,World,Asia,Eastern Asia,Europe,Northern Europe,EST,Estonia
Bunkers,BUN,2018,220743.80865793928,,,,Europe,Northern Europe,EST,Estonia
Italy,ITA,2018,216468.21896644685,World,Europe,Southern Europe,Europe,Northern Europe,EST,Estonia
Saudi Arabia,SAU,2018,213388.32239226752,World,Asia,Western Asia,Europe,Northern Europe,EST,Estonia
Canada,CAN,2018,201483.12462609232,World,Americas,Northern America,Europe,Northern Europe,EST,Estonia
Ukraine,UKR,2018,198884.86658982045,World,Europe,Eastern Europe,Europe,Northern Europe,EST,Estonia
Spain,ESP,2018,197264.23826941167,World,Europe,Southern Europe,Europe,Northern Europe,EST,Estonia
Turkey,TUR,2018,192933.84722394994,World,Asia,Western Asia,Europe,Northern Europe,EST,Estonia
Romania,ROM,2018,169961.66621172128,,,,Europe,Northern Europe,EST,Estonia
Switzerland,CHE,2018,149890.7325595908,World,Europe,Western Europe,Europe,Northern Europe,EST,Estonia
Czech Republic,CZE,2018,146265.22918301483,World,Europe,Eastern Europe,Europe,Northern Europe,EST,Estonia
South Africa,ZAF,2018,1292940.5910000487,World,Africa,Southern Africa,,,,Eswatini
Kenya,KEN,2018,93611.57264294964,World,Africa,Eastern Africa,,,,Eswatini
Nigeria,NGA,2018,78238.43845945937,World,Africa,Western Africa,,,,Eswatini
Mozambique,MOZ,2018,64844.98714160934,World,Africa,Eastern Africa,,,,Eswatini
Tanzania,TZA,2018,34799.52998090915,World,Africa,Eastern Africa,,,,Eswatini
Angola,AGO,2018,30038.287103471157,World,Africa,Middle Africa,,,,Eswatini
Zimbabwe,ZWE,2018,26520.745028809677,World,Africa,Eastern Africa,,,,Eswatini
Uganda,UGA,2018,25822.25889323481,World,Africa,Eastern Africa,,,,Eswatini
China,CHN,2018,23841.254772807915,World,Asia,Eastern Asia,,,,Eswatini
Italy,ITA,2018,22373.021509088663,World,Europe,Southern Europe,,,,Eswatini
China,CHN,2018,142367.49845428314,World,Asia,Eastern Asia,Africa,Eastern Africa,ETH,Ethiopia(excludes Eritrea)
Saudi Arabia,SAU,2018,137530.48989412753,World,Asia,Western Asia,Africa,Eastern Africa,ETH,Ethiopia(excludes Eritrea)
United Arab Emirates,ARE,2018,126398.79916933467,World,Asia,Western Asia,Africa,Eastern Africa,ETH,Ethiopia(excludes Eritrea)
United States,USA,2018,121349.99266622895,World,Americas,Northern America,Africa,Eastern Africa,ETH,Ethiopia(excludes Eritrea)
Djibouti,DJI,2018,92260.58317534496,World,Africa,Eastern Africa,Africa,Eastern Africa,ETH,Ethiopia(excludes Eritrea)
Israel,ISR,2018,91618.94781298535,World,Asia,Western Asia,Africa,Eastern Africa,ETH,Ethiopia(excludes Eritrea)
Lao PDR,LAO,2018,82827.29779629075,World,Asia,South-eastern Asia,Africa,Eastern Africa,ETH,Ethiopia(excludes Eritrea)
Somalia,SOM,2018,65059.71293082166,World,Africa,Eastern Africa,Africa,Eastern Africa,ETH,Ethiopia(excludes Eritrea)
Vietnam,VNM,2018,62340.84721994358,World,Asia,South-eastern Asia,Africa,Eastern Africa,ETH,Ethiopia(excludes Eritrea)
Germany,DEU,2018,59562.42064133098,World,Europe,Western Europe,Africa,Eastern Africa,ETH,Ethiopia(excludes Eritrea)
Japan,JPN,2018,51489.49502443788,World,Asia,Eastern Asia,Africa,Eastern Africa,ETH,Ethiopia(excludes Eritrea)
India,IND,2018,48505.16748601006,World,Asia,Southern Asia,Africa,Eastern Africa,ETH,Ethiopia(excludes Eritrea)
Turkey,TUR,2018,43519.67352311904,World,Asia,Western Asia,Africa,Eastern Africa,ETH,Ethiopia(excludes Eritrea)
Switzerland,CHE,2018,41204.19329113218,World,Europe,Western Europe,Africa,Eastern Africa,ETH,Ethiopia(excludes Eritrea)
Belgium,BEL,2018,34979.70599180753,World,Europe,Western Europe,Africa,Eastern Africa,ETH,Ethiopia(excludes Eritrea)
Sudan,SUD,2018,34810.862687659,,,,Africa,Eastern Africa,ETH,Ethiopia(excludes Eritrea)
Kenya,KEN,2018,30083.01453440301,World,Africa,Eastern Africa,Africa,Eastern Africa,ETH,Ethiopia(excludes Eritrea)
Indonesia,IDN,2018,30003.454478583702,World,Asia,South-eastern Asia,Africa,Eastern Africa,ETH,Ethiopia(excludes Eritrea)
Italy,ITA,2018,26356.475676330043,World,Europe,Southern Europe,Africa,Eastern Africa,ETH,Ethiopia(excludes Eritrea)
"Korea, Rep.",KOR,2018,24510.97669387732,World,Asia,Eastern Asia,Africa,Eastern Africa,ETH,Ethiopia(excludes Eritrea)
Yemen,YEM,2018,21776.555830674028,World,Asia,Western Asia,Africa,Eastern Africa,ETH,Ethiopia(excludes Eritrea)
United Kingdom,GBR,2018,21575.665187615432,World,Europe,Northern Europe,Africa,Eastern Africa,ETH,Ethiopia(excludes Eritrea)
Togo,TGO,2018,20637.887064049006,World,Africa,Western Africa,Africa,Eastern Africa,ETH,Ethiopia(excludes Eritrea)
Nigeria,NGA,2018,18262.49766040042,World,Africa,Western Africa,Africa,Eastern Africa,ETH,Ethiopia(excludes Eritrea)
"Hong Kong, China",HKG,2018,15266.437851097573,World,Asia,Eastern Asia,Africa,Eastern Africa,ETH,Ethiopia(excludes Eritrea)
Netherlands,NLD,2018,14901.7981574958,World,Europe,Western Europe,Africa,Eastern Africa,ETH,Ethiopia(excludes Eritrea)
Jordan,JOR,2018,14279.48371713206,World,Asia,Western Asia,Africa,Eastern Africa,ETH,Ethiopia(excludes Eritrea)
France,FRA,2018,14051.454185049033,World,Europe,Western Europe,Africa,Eastern Africa,ETH,Ethiopia(excludes Eritrea)
Tanzania,TZA,2018,13528.899763038655,World,Africa,Eastern Africa,Africa,Eastern Africa,ETH,Ethiopia(excludes Eritrea)
Pakistan,PAK,2018,10711.660808488792,World,Asia,Southern Asia,Africa,Eastern Africa,ETH,Ethiopia(excludes Eritrea)
United States,USA,2018,207573.4407719145,World,Americas,Northern America,Oceania,Melanesia,FJI,Fiji
Australia,AUS,2018,151865.7532820911,World,Oceania,Australia and New Zealand,Oceania,Melanesia,FJI,Fiji
New Zealand,NZL,2018,89924.18217990143,World,Oceania,Australia and New Zealand,Oceania,Melanesia,FJI,Fiji
Bunkers,BUN,2018,83401.4302513679,,,,Oceania,Melanesia,FJI,Fiji
Japan,JPN,2018,77315.08613399476,World,Asia,Eastern Asia,Oceania,Melanesia,FJI,Fiji
China,CHN,2018,61789.80490526743,World,Asia,Eastern Asia,Oceania,Melanesia,FJI,Fiji
Unspecified,UNS,2018,59125.927569141095,,,,Oceania,Melanesia,FJI,Fiji
Tonga,TON,2018,53041.24840021352,World,Oceania,Polynesia,Oceania,Melanesia,FJI,Fiji
Vanuatu,VUT,2018,31052.765010626776,World,Oceania,Melanesia,Oceania,Melanesia,FJI,Fiji
Samoa,WSM,2018,25107.813327797936,World,Oceania,Polynesia,Oceania,Melanesia,FJI,Fiji
Papua New Guinea,PNG,2018,24582.027295972122,World,Oceania,Melanesia,Oceania,Melanesia,FJI,Fiji
Tuvalu,TUV,2018,23605.848555657125,World,Oceania,Polynesia,Oceania,Melanesia,FJI,Fiji
Kiribati,KIR,2018,20572.506197625582,World,Oceania,Micronesia,Oceania,Melanesia,FJI,Fiji
American Samoa,ASM,2018,17541.50749009204,World,Oceania,Polynesia,Oceania,Melanesia,FJI,Fiji
New Caledonia,NCL,2018,15460.245405703841,World,Oceania,Melanesia,Oceania,Melanesia,FJI,Fiji
Cook Islands,COK,2018,15185.674792462622,World,Oceania,Polynesia,Oceania,Melanesia,FJI,Fiji
Vietnam,VNM,2018,14933.946640544556,World,Asia,South-eastern Asia,Oceania,Melanesia,FJI,Fiji
Netherlands,NLD,2018,13030.444706877479,World,Europe,Western Europe,Oceania,Melanesia,FJI,Fiji
Solomon Islands,SLB,2018,12662.92252340548,World,Oceania,Melanesia,Oceania,Melanesia,FJI,Fiji
French Polynesia,PYF,2018,12536.073635941279,World,Oceania,Polynesia,Oceania,Melanesia,FJI,Fiji
Germany,DEU,2018,12715730.928593624,World,Europe,Western Europe,Europe,Northern Europe,FIN,Finland
Sweden,SWE,2018,8689682.664766354,World,Europe,Northern Europe,Europe,Northern Europe,FIN,Finland
United States,USA,2018,6065624.768357541,World,Americas,Northern America,Europe,Northern Europe,FIN,Finland
Netherlands,NLD,2018,5513052.143524874,World,Europe,Western Europe,Europe,Northern Europe,FIN,Finland
China,CHN,2018,5228117.749359137,World,Asia,Eastern Asia,Europe,Northern Europe,FIN,Finland
Russian Federation,RUS,2018,5191313.961272578,World,Europe,Eastern Europe,Europe,Northern Europe,FIN,Finland
United Kingdom,GBR,2018,3560722.3686248334,World,Europe,Northern Europe,Europe,Northern Europe,FIN,Finland
France,FRA,2018,2573976.0609552627,World,Europe,Western Europe,Europe,Northern Europe,FIN,Finland
Norway,NOR,2018,2554350.6064514513,World,Europe,Northern Europe,Europe,Northern Europe,FIN,Finland
Belgium,BEL,2018,2353376.871662821,World,Europe,Western Europe,Europe,Northern Europe,FIN,Finland
Poland,POL,2018,2352093.022332095,World,Europe,Eastern Europe,Europe,Northern Europe,FIN,Finland
Estonia,EST,2018,2264246.6775769955,World,Europe,Northern Europe,Europe,Northern Europe,FIN,Finland
Italy,ITA,2018,2099658.0807919716,World,Europe,Southern Europe,Europe,Northern Europe,FIN,Finland
Unspecified,UNS,2018,1854858.8398626542,,,,Europe,Northern Europe,FIN,Finland
Denmark,DNK,2018,1629571.7360358252,World,Europe,Northern Europe,Europe,Northern Europe,FIN,Finland
Spain,ESP,2018,1379175.9312775987,World,Europe,Southern Europe,Europe,Northern Europe,FIN,Finland
Japan,JPN,2018,1357104.5052001271,World,Asia,Eastern Asia,Europe,Northern Europe,FIN,Finland
"Korea, Rep.",KOR,2018,1310853.9031709102,World,Asia,Eastern Asia,Europe,Northern Europe,FIN,Finland
Australia,AUS,2018,1148163.7807290282,World,Oceania,Australia and New Zealand,Europe,Northern Europe,FIN,Finland
Canada,CAN,2018,1005797.8617808896,World,Americas,Northern America,Europe,Northern Europe,FIN,Finland
Turkey,TUR,2018,982873.3158020675,World,Asia,Western Asia,Europe,Northern Europe,FIN,Finland
India,IND,2018,903910.5611502904,World,Asia,Southern Asia,Europe,Northern Europe,FIN,Finland
Latvia,LVA,2018,804503.3282205552,World,Europe,Northern Europe,Europe,Northern Europe,FIN,Finland
Switzerland,CHE,2018,792113.0603570505,World,Europe,Western Europe,Europe,Northern Europe,FIN,Finland
Mexico,MEX,2018,744603.5740013206,World,Americas,Central America,Europe,Northern Europe,FIN,Finland
Indonesia,IDN,2018,735513.1367316105,World,Asia,South-eastern Asia,Europe,Northern Europe,FIN,Finland
Lithuania,LTU,2018,734129.8152150917,World,Europe,Northern Europe,Europe,Northern Europe,FIN,Finland
Austria,AUT,2018,608723.6310482817,World,Europe,Western Europe,Europe,Northern Europe,FIN,Finland
Czech Republic,CZE,2018,517968.13243501127,World,Europe,Eastern Europe,Europe,Northern Europe,FIN,Finland
"Egypt, Arab Rep.",EGY,2018,504838.7787927262,World,Africa,Northern Africa,Europe,Northern Europe,FIN,Finland
Brazil,BRA,2018,476021.2788154838,World,Americas,South America,Europe,Northern Europe,FIN,Finland
South Africa,ZAF,2018,455736.4112942425,World,Africa,Southern Africa,Europe,Northern Europe,FIN,Finland
Chile,CHL,2018,452171.2370563891,World,Americas,South America,Europe,Northern Europe,FIN,Finland
Hungary,HUN,2018,450369.62735397794,World,Europe,Eastern Europe,Europe,Northern Europe,FIN,Finland
Germany,DEU,2018,111089124.66888753,World,Europe,Western Europe,Europe,Western Europe,FRA,France
United States,USA,2018,60791324.68092761,World,Americas,Northern America,Europe,Western Europe,FRA,France
Spain,ESP,2018,55411531.69613227,World,Europe,Southern Europe,Europe,Western Europe,FRA,France
Italy,ITA,2018,48658429.48052084,World,Europe,Southern Europe,Europe,Western Europe,FRA,France
United Kingdom,GBR,2018,47119760.393709965,World,Europe,Northern Europe,Europe,Western Europe,FRA,France
Belgium,BEL,2018,45874332.697184935,World,Europe,Western Europe,Europe,Western Europe,FRA,France
China,CHN,2018,37398760.71267061,World,Asia,Eastern Asia,Europe,Western Europe,FRA,France
Netherlands,NLD,2018,23867611.400786698,World,Europe,Western Europe,Europe,Western Europe,FRA,France
Switzerland,CHE,2018,19878462.658059485,World,Europe,Western Europe,Europe,Western Europe,FRA,France
Poland,POL,2018,14826815.684190985,World,Europe,Eastern Europe,Europe,Western Europe,FRA,France
Singapore,SGP,2018,13609044.783106133,World,Asia,South-eastern Asia,Europe,Western Europe,FRA,France
India,IND,2018,10864901.310264,World,Asia,Southern Asia,Europe,Western Europe,FRA,France
